Area,BHK,Bathroom,Furnishing,Locality,Price,Transaction
800.0,3,2.0,Semi-Furnished,Rohini Sector 25,6500000,New_Property
750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000,New_Property
950.0,2,2.0,Furnished,"Citizen Apartment, Rohini Sector 13",15500000,Resale
600.0,2,2.0,Semi-Furnished,Rohini Sector 24,4200000,Resale
650.0,2,2.0,Semi-Furnished,"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",6200000,New_Property
1300.0,4,3.0,Semi-Furnished,Rohini Sector 24,15500000,New_Property
1350.0,4,3.0,Semi-Furnished,Rohini Sector 24,10000000,Resale
650.0,2,2.0,Semi-Furnished,"Delhi Homes, Rohini Sector 24",4000000,New_Property
985.0,3,3.0,Unfurnished,Rohini Sector 21,6800000,New_Property
1300.0,4,4.0,Semi-Furnished,Rohini Sector 22,15000000,New_Property
1100.0,3,2.0,Semi-Furnished,Rohini Sector 20,6200000,New_Property
870.0,3,2.0,Semi-Furnished,Rohini Sector 25,7700000,New_Property
630.0,2,2.0,Semi-Furnished,Rohini Sector 24,5500000,New_Property
660.0,2,2.0,Semi-Furnished,Rohini Sector 24,5000000,Resale
344.4448,2,2.0,Semi-Furnished,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,3310000,Resale
660.0,2,2.0,Semi-Furnished,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",4700000,New_Property
550.0,2,2.0,Semi-Furnished,Rohini Sector 22,4500000,New_Property
1100.0,4,3.0,Semi-Furnished,Rohini Sector 16,17000000,New_Property
1150.0,3,3.0,Semi-Furnished,Rohini Sector 14,25000000,Resale
650.0,2,2.0,Semi-Furnished,Rohini Sector 24,6000000,Resale
850.0,2,2.0,Semi-Furnished,"Mayur Apartment, Rohini Sector 9",11000000,Resale
900.0,3,2.0,Semi-Furnished,"Vijay Vihar, Rohini",4500000,Resale
430.556,1,1.0,Furnished,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",5300000,Resale
900.0,2,2.0,Semi-Furnished,"Prashant Vihar, Rohini",10500000,Resale
914.9315,2,2.0,Semi-Furnished,Rohini Sector 5,12000000,Resale
1100.0,3,3.0,Furnished,Rohini Sector 20,7000000,New_Property
800.0,3,2.0,Semi-Furnished,Rohini Sector 25,7000000,Resale
500.0,1,1.0,Semi-Furnished,"Sanskriti Apartment, Rohini Sector 28",3400000,Resale
28.0,2,2.0,Furnished,Rohini Sector 25,5000000,New_Property
2160.0,4,4.0,Furnished,Rohini Sector 19,21000000,New_Property
1500.0,1,2.556085918854415,Unfurnished,Lajpat Nagar 2,13500000,Resale
800.0,2,2.0,Unfurnished,Lajpat Nagar 1,15000000,New_Property
900.0,2,2.0,Unfurnished,Lajpat Nagar,10500000,New_Property
1080.0,3,2.0,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",22500000,New_Property
750.0,2,2.0,Unfurnished,Lajpat Nagar 4,13600000,New_Property
1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,30000000,New_Property
900.0,2,2.0,Semi-Furnished,Lajpat Nagar,13500000,New_Property
810.0,2,2.0,Semi-Furnished,"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank",8910000,Resale
1350.0,3,4.0,Unfurnished,Lajpat Nagar,25000000,Resale
1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000,New_Property
1650.0,3,3.0,Semi-Furnished,Lajpat Nagar,30000000,Resale
1280.0,2,2.0,Furnished,Lajpat Nagar,12500000,Resale
1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,21000000,Resale
1130.0,2,2.0,Unfurnished,Lajpat Nagar 4,7800000,Resale
600.0,2,2.0,Semi-Furnished,"Amar Colony, Lajpat Nagar",11500000,New_Property
850.0,2,2.0,Semi-Furnished,Lajpat Nagar 1,11500000,Resale
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000,New_Property
900.0,2,2.0,Semi-Furnished,"Amar Colony, Lajpat Nagar",13000000,New_Property
1000.0,3,3.0,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",22000000,New_Property
900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15800000,New_Property
2925.0,4,4.0,Unfurnished,Lajpat Nagar 3,57500000,New_Property
900.0,2,2.0,Unfurnished,Lajpat Nagar 1,10000000,Resale
1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,30000000,New_Property
1143.0,3,3.0,Unfurnished,"Vikram Vihar, Lajpat Nagar",22000000,New_Property
1150.0,3,3.0,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",24000000,New_Property
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,31500000,Resale
850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,14600000,Resale
8000.0,4,5.0,Semi-Furnished,Lajpat Nagar,240000000,New_Property
890.0,2,2.0,Semi-Furnished,Lajpat Nagar 1,8300000,Resale
1100.0,3,3.0,Unfurnished,"Vikram Vihar, Lajpat Nagar",22500000,New_Property
750.0,1,1.0,Furnished,"DDA Flats Sector 14, Dwarka Sector 14",4600000,Resale
850.0,2,1.0,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",1900000,New_Property
1350.0,3,2.0,Unfurnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",5130000,New_Property
1387.0,4,4.0,Unfurnished,"Delhi Homes Yojana, Dwarka Sector 24",5890000,New_Property
1050.0,3,2.0,Unfurnished,"The Elite Spire, Dwarka Sector 21",3700000,New_Property
1500.0,3,2.0,Unfurnished,"Kunj Vihar Apartment, Dwarka Sector 12",17400000,Resale
1200.0,3,3.0,Semi-Furnished,"Ashirwad Apartments, Dwarka Sector 12",15500000,Resale
700.0,2,1.0,Semi-Furnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",2400000,New_Property
1700.0,3,2.0,Semi-Furnished,"Sunny Valley Apartments, Dwarka",17200000,Resale
1550.0,3,2.0,Furnished,"Shri Agrasen Apartment, Dwarka Sector 7",14200000,Resale
1400.0,3,3.0,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",13500000,Resale
1900.0,4,4.0,Semi-Furnished,"Mohinder Apartments, Dwarka Sector 12",30000000,Resale
2160.0,4,3.0,Unfurnished,"Chander Lok Apartment, Dwarka Sector 19",21000000,Resale
1700.0,4,3.0,Unfurnished,"Neelachal, Dwarka Sector 5",20500000,Resale
1850.0,3,4.0,Semi-Furnished,Dwarka,24000000,Resale
1800.0,4,2.0,Semi-Furnished,"MeeraBai Apartment, Dwarka Sector 5",16500000,Resale
1620.0,3,2.0,Semi-Furnished,"Crescent Apartments, Dwarka Sector 18",14900000,Resale
1800.0,4,3.0,Furnished,"Ashoka Enclave Apartment, Dwarka Sector 11",19200000,Resale
1540.0,3,3.0,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",14500000,Resale
1600.0,3,3.0,Semi-Furnished,"Ashirwad Apartments, Dwarka",15600000,Resale
1400.0,3,2.0,Unfurnished,"Indraprastha Apartment, Dwarka Sector 12",11400000,Resale
2300.0,4,4.0,Furnished,"Mohinder Apartments, Dwarka",31500000,Resale
1560.0,3,2.0,Furnished,"Ashoka Apartments, Dwarka Sector 12",15800000,Resale
1500.0,3,3.0,Semi-Furnished,"Karuna Vihar Apartment, Dwarka",16000000,Resale
1540.0,3,3.0,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",14500000,Resale
1050.0,2,2.0,Unfurnished,"LNT Apartments, Dwarka",10500000,Resale
1800.0,3,2.0,Semi-Furnished,Dwarka Sector 4,14800000,Resale
400.0,1,1.0,Semi-Furnished,"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served",1850000,New_Property
